Stations_id; Referenzjahr; Qualitaetsniveau; Objekt_id; Phase_id; Eintrittsdatum;Eintrittsdatum_QB; Jultag;eor;
        7608;          2023;             10;              207;             10;       20230410;                1;    100;eor;                                                                            
        7608;          2023;             10;              207;             12;       20230419;                1;    109;eor;                                                                            
        7608;          2023;             10;              207;             15;       20230520;                1;    140;eor;                                                                            
        7608;          2023;             10;              207;             18;       20230606;                1;    157;eor;                                                                            
        7608;          2023;             10;              207;             21;       20230630;                1;    181;eor;                                                                            
        7608;          2023;             10;              207;             24;       20230816;                1;    228;eor;                                                                            
        7623;          2023;             10;              207;             10;       20230415;                1;    105;eor;                                                                            
        7623;          2023;             10;              207;             12;       20230430;                1;    120;eor;                                                                            
        7623;          2023;             10;              207;             15;       20230515;                1;    135;eor;                                                                            
        7623;          2023;             10;              207;             18;       20230618;                1;    169;eor;                                                                            
        7623;          2023;             10;              207;             21;       20230624;                1;    175;eor;                                                                            
        7623;          2023;             10;              207;             24;       20230720;                1;    201;eor;                                                                            
        7623;          2024;             10;              207;             10;       20240303;                1;     62;eor;                                                                            
        7623;          2024;             10;              207;             12;       20240325;                1;     84;eor;                                                                            
        7623;          2024;             10;              207;             15;       20240415;                1;    105;eor;                                                                            
        7623;          2024;             10;              207;             18;       20240530;                1;    150;eor;                                                                            
        7623;          2024;             10;              207;             21;       20240712;                1;    193;eor;                                                                            
        7623;          2024;             10;              207;             24;       20240730;                1;    211;eor;                                                                            
        7623;          2025;              1;              207;             10;       20250415;                1;    105;eor;                                                                            
        7623;          2025;              1;              207;             12;       20250430;                1;    120;eor;                                                                            
        7623;          2025;              1;              207;             15;       20250514;                1;    134;eor;                                                                            
        7623;          2025;              1;              207;             18;       20250612;                1;    163;eor;                                                                            
        7623;          2025;              1;              207;             21;       20250701;                1;    182;eor;                                                                            
        7623;          2025;              1;              207;             24;       20250715;                1;    196;eor;                                                                            
        7624;          2024;             10;              207;             10;       20240318;                1;     77;eor;                                                                            
        7624;          2024;             10;              207;             12;       20240421;                1;    111;eor;                                                                            
        7624;          2024;             10;              207;             24;       20240830;                1;    242;eor;                                                                            
        7624;          2025;              1;              207;             10;       20250311;                1;     70;eor;                                                                            
        7624;          2025;              1;              207;             12;       20250327;                1;     86;eor;                                                                            
        7624;          2025;              1;              207;             15;       20250426;                1;    116;eor;                                                                            
        7624;          2025;              1;              207;             18;       20250604;                1;    155;eor;                                                                            
        7624;          2025;              1;              207;             24;       20250725;                1;    206;eor;                                                                            
        7642;          2023;             10;              207;             10;       20230415;                1;    105;eor;                                                                            
        7642;          2023;             10;              207;             12;       20230422;                1;    112;eor;                                                                            
        7642;          2023;             10;              207;             15;       20230526;                1;    146;eor;                                                                            
        7642;          2023;             10;              207;             18;       20230610;                1;    161;eor;                                                                            
        7642;          2023;             10;              207;             21;       20230612;                1;    163;eor;                                                                            
        7642;          2023;             10;              207;             24;       20230804;                1;    216;eor;                                                                            
        7650;          2024;             10;              207;             10;       20240418;                1;    108;eor;                                                                            
        7650;          2024;             10;              207;             12;       20240429;                1;    119;eor;                                                                            
