Stations_id; Referenzjahr; Qualitaetsniveau; Objekt_id; Phase_id; Eintrittsdatum;Eintrittsdatum_QB; Jultag;eor;
        7521;          2023;             10;              253;             10;       20230408;                1;     98;eor;                                                                            
        7521;          2023;             10;              253;             12;       20230422;                1;    112;eor;                                                                            
        7521;          2023;             10;              253;             13;       20230613;                1;    164;eor;                                                                            
        7521;          2023;             10;              253;             24;       20230922;                1;    265;eor;                                                                            
        7521;          2024;             10;              253;             10;       20240415;                1;    105;eor;                                                                            
        7521;          2024;             10;              253;             12;       20240508;                1;    128;eor;                                                                            
        7521;          2024;             10;              253;             13;       20240614;                1;    165;eor;                                                                            
        7521;          2024;             10;              253;             24;       20240912;                1;    255;eor;                                                                            
        7592;          2023;             10;              253;             10;       20230419;                1;    109;eor;                                                                            
        7592;          2023;             10;              253;             12;       20230502;                1;    122;eor;                                                                            
        7592;          2023;             10;              253;             13;       20230625;                1;    176;eor;                                                                            
        7592;          2023;             10;              253;             24;       20231027;                1;    300;eor;                                                                            
        7592;          2024;             10;              253;             10;       20240401;                1;     91;eor;                                                                            
        7592;          2024;             10;              253;             12;       20240411;                1;    101;eor;                                                                            
        7592;          2024;             10;              253;             13;       20240624;                1;    175;eor;                                                                            
        7592;          2024;             10;              253;             24;       20241015;                1;    288;eor;                                                                            
        7592;          2025;              1;              253;             10;       20250407;                1;     97;eor;                                                                            
        7592;          2025;              1;              253;             12;       20250419;                1;    109;eor;                                                                            
        7592;          2025;              1;              253;             13;       20250601;                1;    152;eor;                                                                            
        7592;          2025;              1;              253;             24;       20251007;                1;    280;eor;                                                                            
        7608;          2023;             10;              253;             10;       20230426;                1;    116;eor;                                                                            
        7608;          2023;             10;              253;             12;       20230507;                1;    127;eor;                                                                            
        7608;          2023;             10;              253;             13;       20230626;                1;    177;eor;                                                                            
        7608;          2023;             10;              253;             24;       20231018;                1;    291;eor;                                                                            
        7608;          2024;             10;              253;             10;       20240415;                1;    105;eor;                                                                            
        7608;          2024;             10;              253;             12;       20240424;                1;    114;eor;                                                                            
        7608;          2024;             10;              253;             13;       20240628;                1;    179;eor;                                                                            
        7608;          2024;             10;              253;             24;       20240907;                1;    250;eor;                                                                            
        7608;          2025;              1;              253;             10;       20250311;                1;     70;eor;                                                                            
        7608;          2025;              1;              253;             12;       20250403;                1;     93;eor;                                                                            
        7608;          2025;              1;              253;             13;       20250625;                1;    176;eor;                                                                            
        7608;          2025;              1;              253;             24;       20251023;                1;    296;eor;                                                                            
        7711;          2023;             10;              253;             10;       20230411;                1;    101;eor;                                                                            
        7711;          2023;             10;              253;             12;       20230503;                1;    123;eor;                                                                            
        7711;          2023;             10;              253;             13;       20230621;                1;    172;eor;                                                                            
        7711;          2023;             10;              253;             24;       20231005;                1;    278;eor;                                                                            
        7721;          2023;             10;              253;             10;       20230422;                1;    112;eor;                                                                            
        7721;          2023;             10;              253;             12;       20230507;                1;    127;eor;                                                                            
        7721;          2023;             10;              253;             13;       20230702;                1;    183;eor;                                                                            
        7721;          2023;             10;              253;             24;       20231103;                1;    307;eor;                                                                            
        7736;          2023;             10;              253;             10;       20230322;                1;     81;eor;                                                                            
        7736;          2023;             10;              253;             12;       20230428;                1;    118;eor;                                                                            
        7736;          2023;             10;              253;             13;       20230614;                1;    165;eor;                                                                            
        7736;          2023;             10;              253;             24;       20231026;                1;    299;eor;                                                                            
        7736;          2025;              1;              253;             10;       20250330;                1;     89;eor;                                                                            
        7736;          2025;              1;              253;             12;       20250417;                1;    107;eor;                                                                            
        7736;          2025;              1;              253;             13;       20250525;                1;    145;eor;                                                                            
        7736;          2025;              1;              253;             24;       20251002;                1;    275;eor;                                                                            
        7770;          2023;             10;              253;             10;       20230412;                1;    102;eor;                                                                            
        7770;          2023;             10;              253;             12;       20230510;                1;    130;eor;                                                                            
        7770;          2023;             10;              253;             13;       20230620;                1;    171;eor;                                                                            
        7770;          2023;             10;              253;             24;       20231116;                1;    320;eor;                                                                            
        7770;          2024;             10;              253;             13;       20240604;                1;    155;eor;                                                                            
        7770;          2024;             10;              253;             24;       20241101;                1;    305;eor;                                                                            
        7770;          2025;              1;              253;             10;       20250401;                1;     91;eor;                                                                            
        7770;          2025;              1;              253;             12;       20250420;                1;    110;eor;                                                                            
        7770;          2025;              1;              253;             13;       20250612;                1;    163;eor;                                                                            
        7770;          2025;              1;              253;             24;       20251126;                1;    330;eor;                                                                            
        7798;          2023;             10;              253;             10;       20230427;                1;    117;eor;                                                                            
        7798;          2023;             10;              253;             12;       20230520;                1;    140;eor;                                                                            
        7798;          2023;             10;              253;             13;       20230629;                1;    180;eor;                                                                            
        7798;          2023;             10;              253;             24;       20231002;                1;    275;eor;                                                                            
        7798;          2024;             10;              253;             10;       20240414;                1;    104;eor;                                                                            
        7798;          2024;             10;              253;             12;       20240507;                1;    127;eor;                                                                            
        7798;          2024;             10;              253;             13;       20240608;                1;    159;eor;                                                                            
        7798;          2024;             10;              253;             24;       20240921;                1;    264;eor;                                                                            
        7798;          2025;              1;              253;             10;       20250328;                1;     87;eor;                                                                            
        7798;          2025;              1;              253;             12;       20250425;                1;    115;eor;                                                                            
        7798;          2025;              1;              253;             13;       20250531;                1;    151;eor;                                                                            
        7798;          2025;              1;              253;             24;       20250921;                1;    264;eor;                                                                            
        7803;          2023;             10;              253;             10;       20230422;                1;    112;eor;                                                                            
        7803;          2023;             10;              253;             12;       20230508;                1;    128;eor;                                                                            
        7803;          2023;             10;              253;             13;       20230703;                1;    184;eor;                                                                            
        7803;          2023;             10;              253;             24;       20230923;                1;    266;eor;                                                                            
        7803;          2024;             10;              253;             10;       20240502;                1;    122;eor;                                                                            
        7803;          2024;             10;              253;             12;       20240512;                1;    132;eor;                                                                            
        7803;          2024;             10;              253;             13;       20240627;                1;    178;eor;                                                                            
        7803;          2024;             10;              253;             24;       20241104;                1;    308;eor;                                                                            
        7803;          2025;              1;              253;             10;       20250322;                1;     81;eor;                                                                            
        7803;          2025;              1;              253;             12;       20250419;                1;    109;eor;                                                                            
        7803;          2025;              1;              253;             13;       20250606;                1;    157;eor;                                                                            
        7803;          2025;              1;              253;             24;       20250908;                1;    251;eor;                                                                            
        7807;          2023;             10;              253;             10;       20230402;                1;     92;eor;                                                                            
        7807;          2023;             10;              253;             12;       20230510;                1;    130;eor;                                                                            
        7807;          2023;             10;              253;             13;       20230619;                1;    170;eor;                                                                            
        7807;          2023;             10;              253;             24;       20231010;                1;    283;eor;                                                                            
        7807;          2024;             10;              253;             10;       20240327;                1;     86;eor;                                                                            
        7807;          2024;             10;              253;             12;       20240502;                1;    122;eor;                                                                            
        7807;          2024;             10;              253;             13;       20240622;                1;    173;eor;                                                                            
        7807;          2024;             10;              253;             24;       20241010;                1;    283;eor;                                                                            
        7807;          2025;              1;              253;             10;       20250329;                1;     88;eor;                                                                            
        7807;          2025;              1;              253;             12;       20250418;                1;    108;eor;                                                                            
        7807;          2025;              1;              253;             13;       20250610;                1;    161;eor;                                                                            
        7807;          2025;              1;              253;             24;       20251004;                1;    277;eor;                                                                            
        7812;          2023;             10;              253;             10;       20230419;                1;    109;eor;                                                                            
        7812;          2023;             10;              253;             12;       20230508;                1;    128;eor;                                                                            
        7812;          2023;             10;              253;             13;       20230616;                1;    167;eor;                                                                            
        7812;          2023;             10;              253;             24;       20231027;                1;    300;eor;                                                                            
        7837;          2023;             10;              253;             10;       20230427;                1;    117;eor;                                                                            
        7837;          2023;             10;              253;             13;       20230707;                1;    188;eor;                                                                            
        7904;          2024;             10;              253;             13;       20240614;                1;    165;eor;                                                                            
        7904;          2024;             10;              253;             24;       20241118;                1;    322;eor;                                                                            
        7904;          2025;              1;              253;             24;       20251029;                1;    302;eor;                                                                            
        7906;          2024;             10;              253;             10;       20240324;                1;     83;eor;                                                                            
        7906;          2024;             10;              253;             12;       20240428;                1;    118;eor;                                                                            
        7906;          2024;             10;              253;             13;       20240605;                1;    156;eor;                                                                            
        7906;          2024;             10;              253;             24;       20240926;                1;    269;eor;                                                                            
        7906;          2025;              1;              253;             10;       20250329;                1;     88;eor;                                                                            
        7906;          2025;              1;              253;             12;       20250425;                1;    115;eor;                                                                            
        7906;          2025;              1;              253;             13;       20250612;                1;    163;eor;                                                                            
        7906;          2025;              1;              253;             24;       20251002;                1;    275;eor;                                                                            
        7920;          2023;             10;              253;             10;       20230404;                1;     94;eor;                                                                            
        7920;          2023;             10;              253;             12;       20230424;                1;    114;eor;                                                                            
        7920;          2023;             10;              253;             13;       20230619;                1;    170;eor;                                                                            
        7920;          2023;             10;              253;             24;       20230908;                1;    251;eor;                                                                            
        7923;          2023;             10;              253;             10;       20230331;                1;     90;eor;                                                                            
        7923;          2023;             10;              253;             12;       20230426;                1;    116;eor;                                                                            
        7923;          2023;             10;              253;             13;       20230602;                1;    153;eor;                                                                            
        7923;          2023;             10;              253;             24;       20231015;                1;    288;eor;                                                                            
        7956;          2023;             10;              253;             10;       20230412;                1;    102;eor;                                                                            
        7956;          2023;             10;              253;             12;       20230424;                1;    114;eor;                                                                            
        7956;          2023;             10;              253;             13;       20230615;                1;    166;eor;                                                                            
        7956;          2023;             10;              253;             24;       20231114;                1;    318;eor;                                                                            
        7956;          2025;              1;              253;             10;       20250324;                1;     83;eor;                                                                            
        7956;          2025;              1;              253;             12;       20250407;                1;     97;eor;                                                                            
        7956;          2025;              1;              253;             13;       20250529;                1;    149;eor;                                                                            
        7956;          2025;              1;              253;             24;       20251104;                1;    308;eor;                                                                            
        7965;          2023;             10;              253;             10;       20230505;                1;    125;eor;                                                                            
        7965;          2023;             10;              253;             12;       20230521;                1;    141;eor;                                                                            
        7965;          2023;             10;              253;             24;       20230915;                1;    258;eor;                                                                            
        7990;          2023;             10;              253;             10;       20230329;                1;     88;eor;                                                                            
        7990;          2023;             10;              253;             12;       20230416;                1;    106;eor;                                                                            
        7990;          2023;             10;              253;             13;       20230625;                1;    176;eor;                                                                            
        7990;          2023;             10;              253;             24;       20231124;                1;    328;eor;                                                                            
        7991;          2023;             10;              253;             10;       20230419;                1;    109;eor;                                                                            
        7991;          2023;             10;              253;             12;       20230505;                1;    125;eor;                                                                            
        7991;          2023;             10;              253;             13;       20230622;                1;    173;eor;                                                                            
        7991;          2023;             10;              253;             24;       20231003;                1;    276;eor;                                                                            
        8007;          2023;             10;              253;             10;       20230422;                1;    112;eor;                                                                            
        8007;          2023;             10;              253;             12;       20230506;                1;    126;eor;                                                                            
        8007;          2023;             10;              253;             13;       20230623;                1;    174;eor;                                                                            
        8007;          2023;             10;              253;             24;       20230928;                1;    271;eor;                                                                            
        8008;          2023;             10;              253;             10;       20230419;                1;    109;eor;                                                                            
        8008;          2023;             10;              253;             12;       20230506;                1;    126;eor;                                                                            
        8008;          2023;             10;              253;             13;       20230618;                1;    169;eor;                                                                            
        8008;          2023;             10;              253;             24;       20231030;                1;    303;eor;                                                                            
        8008;          2024;             10;              253;             10;       20240413;                1;    103;eor;                                                                            
        8008;          2024;             10;              253;             12;       20240501;                1;    121;eor;                                                                            
        8008;          2024;             10;              253;             13;       20240602;                1;    153;eor;                                                                            
        8008;          2024;             10;              253;             24;       20241002;                1;    275;eor;                                                                            
        8008;          2025;              1;              253;             10;       20250329;                1;     88;eor;                                                                            
        8008;          2025;              1;              253;             12;       20250420;                1;    110;eor;                                                                            
        8008;          2025;              1;              253;             13;       20250527;                1;    147;eor;                                                                            
        8008;          2025;              1;              253;             24;       20250922;                1;    265;eor;                                                                            
        8015;          2023;             10;              253;             10;       20230419;                1;    109;eor;                                                                            
        8015;          2023;             10;              253;             12;       20230506;                1;    126;eor;                                                                            
        8015;          2023;             10;              253;             13;       20230615;                1;    166;eor;                                                                            
        8015;          2023;             10;              253;             24;       20230920;                1;    263;eor;                                                                            
        8015;          2024;             10;              253;             10;       20240414;                1;    104;eor;                                                                            
        8015;          2024;             10;              253;             12;       20240503;                1;    123;eor;                                                                            
        8015;          2024;             10;              253;             13;       20240613;                1;    164;eor;                                                                            
        8015;          2024;             10;              253;             24;       20241014;                1;    287;eor;                                                                            
        8015;          2025;              1;              253;             10;       20250402;                1;     92;eor;                                                                            
        8015;          2025;              1;              253;             12;       20250424;                1;    114;eor;                                                                            
        8015;          2025;              1;              253;             13;       20250601;                1;    152;eor;                                                                            
        8015;          2025;              1;              253;             24;       20251011;                1;    284;eor;                                                                            
        8018;          2023;             10;              253;             10;       20230410;                1;    100;eor;                                                                            
        8018;          2023;             10;              253;             12;       20230429;                1;    119;eor;                                                                            
        8018;          2023;             10;              253;             13;       20230617;                1;    168;eor;                                                                            
        8018;          2023;             10;              253;             24;       20231007;                1;    280;eor;                                                                            
        8018;          2024;             10;              253;             10;       20240412;                1;    102;eor;                                                                            
        8018;          2024;             10;              253;             12;       20240427;                1;    117;eor;                                                                            
