#
# 1-day summary product timeseries for bozeman
#
# Site: bozeman
# Veg Type: GR
# ROI ID Number: 1000
# Lat: 45.783056
# Lon: -110.777778
# Elev: 2332
# UTC Offset: -7
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2022-07-28
# Creation Time: 05:34:28
# Update Date: 2026-03-05
# Update Time: 10:56:34
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2016-11-11,2016,316,1,bozeman_2016_11_11_111805.jpg,158.86581,116.87183,90.29238,0.31930,0.43402,158.86581,0.00000,116.87183,0.00000,90.29238,0.00000,0.31930,0.00000,0.31930,0.31930,0.31930,0.43402,0.00000,0.43402,0.43402,0.43402,25.59572,NA,NA,NA,NA,NA
2016-11-12,2016,317,7,bozeman_2016_11_12_121850.jpg,156.55207,116.03967,90.55564,0.31954,0.43110,138.45045,15.51850,103.06712,10.30684,80.50446,7.82200,0.32013,0.00114,0.32043,0.32116,0.32137,0.42958,0.01035,0.43110,0.43565,0.43967,26.23220,NA,NA,NA,NA,NA
2016-11-13,2016,318,13,bozeman_2016_11_13_114805.jpg,140.27259,103.65425,79.94626,0.32005,0.43311,142.62083,10.95176,104.53899,6.00908,80.11908,5.84538,0.31945,0.00128,0.31990,0.32007,0.32028,0.43553,0.01645,0.43728,0.44165,0.44943,25.97786,NA,NA,NA,NA,NA
2016-11-14,2016,319,14,bozeman_2016_11_14_114805.jpg,131.14233,97.27673,76.88823,0.31862,0.42954,136.01026,9.33872,100.30807,6.03575,78.71468,4.59844,0.31842,0.00104,0.31851,0.31913,0.31941,0.43160,0.00717,0.43099,0.43791,0.44097,25.72194,NA,NA,NA,NA,NA
2016-11-15,2016,320,1,bozeman_2016_11_15_084807.jpg,135.79221,96.53052,70.71259,0.31855,0.44811,135.79221,0.00000,96.53052,0.00000,70.71259,0.00000,0.31855,0.00000,0.31855,0.31855,0.31855,0.44811,0.00000,0.44811,0.44811,0.44811,11.35038,NA,NA,NA,NA,NA
2016-11-16,2016,321,13,bozeman_2016_11_16_114805.jpg,114.75364,97.38985,95.04718,0.31703,0.37356,124.19842,12.93276,109.58828,9.32099,114.82085,12.72521,0.31440,0.00282,0.31496,0.31579,0.31773,0.35631,0.02078,0.35787,0.36844,0.38106,25.22686,NA,NA,NA,NA,NA
2016-11-17,2016,322,13,bozeman_2016_11_17_114805.jpg,113.66442,102.77615,105.98861,0.31876,0.35253,122.23402,11.92750,112.45530,8.75691,119.92132,9.81845,0.31714,0.00155,0.31753,0.31864,0.31869,0.34445,0.01508,0.35248,0.35340,0.35408,24.98801,NA,NA,NA,NA,NA
2016-11-18,2016,323,13,bozeman_2016_11_18_114805.jpg,128.50492,110.66822,105.90998,0.32070,0.37239,126.52042,12.48639,108.10483,9.17315,102.94771,7.94715,0.32031,0.00093,0.32062,0.32078,0.32123,0.37445,0.00500,0.37409,0.37615,0.37994,24.75495,NA,NA,NA,NA,NA
2016-11-19,2016,324,13,bozeman_2016_11_19_114806.jpg,124.36554,105.71764,100.19170,0.32009,0.37655,134.72896,10.45036,112.55091,8.41190,104.42003,8.64205,0.32005,0.00051,0.32002,0.32019,0.32041,0.38313,0.00800,0.38101,0.38836,0.39399,24.52751,NA,NA,NA,NA,NA
2016-11-20,2016,325,13,bozeman_2016_11_20_114805.jpg,145.87491,117.98833,105.96071,0.31904,0.39444,137.69406,10.07943,112.59861,8.86443,102.94704,9.89331,0.31876,0.00056,0.31901,0.31912,0.31933,0.39010,0.00933,0.39168,0.39444,0.40191,24.30618,NA,NA,NA,NA,NA
2016-11-21,2016,326,13,bozeman_2016_11_21_114805.jpg,149.25006,118.32611,104.14143,0.31832,0.40151,137.70784,5.84493,109.85042,3.98717,97.71447,3.19789,0.31815,0.00023,0.31816,0.31832,0.31842,0.39877,0.00471,0.39894,0.40151,0.40259,24.09080,NA,NA,NA,NA,NA
2016-11-22,2016,327,12,bozeman_2016_11_22_114806.jpg,161.25359,122.47484,100.51931,0.31874,0.41966,143.81751,14.57521,108.60264,11.35876,87.75967,10.36751,0.31931,0.00078,0.31956,0.31992,0.32008,0.42304,0.00484,0.42309,0.42567,0.42722,23.88192,NA,NA,NA,NA,NA
2016-11-23,2016,328,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-11-24,2016,329,12,bozeman_2016_11_24_114806.jpg,126.55558,111.11204,108.94334,0.32057,0.36512,121.55376,13.94875,105.37376,11.71272,101.57485,11.58956,0.32083,0.00057,0.32095,0.32123,0.32142,0.37004,0.00477,0.36835,0.37317,0.37800,23.48231,NA,NA,NA,NA,NA
2016-11-25,2016,330,12,bozeman_2016_11_25_114806.jpg,106.67916,97.99585,103.08464,0.31842,0.34663,128.58389,15.03642,116.05054,11.80863,119.08437,11.78362,0.31905,0.00133,0.31832,0.32023,0.32093,0.35319,0.01275,0.34665,0.36524,0.36885,23.29230,NA,NA,NA,NA,NA
