#
# 1-day summary product timeseries for kelloggmiscanthus
#
# Site: kelloggmiscanthus
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 42.39528
# Lon: -85.37561
# Elev: 285
# UTC Offset: -5
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2021-12-07
# Creation Time: 15:51:25
# Update Date: 2021-12-07
# Update Time: 15:51:27
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2015-07-17,2015,198,6,kelloggmiscanthus_2015_07_17_140059.jpg,83.65563,110.37215,112.15238,0.36048,0.27322,78.45551,9.80370,111.07241,3.27824,110.07270,7.88034,0.37162,0.01426,0.37721,0.38236,0.38453,0.26100,0.01676,0.26571,0.27204,0.27832,63.78250,NA,NA,NA,NA,NA
2015-07-18,2015,199,13,kelloggmiscanthus_2015_07_18_120047.jpg,84.42447,113.65116,100.29229,0.38091,0.28295,77.96881,12.93285,108.64904,11.65260,96.11294,16.54972,0.38624,0.02275,0.38483,0.40902,0.41113,0.27471,0.01760,0.27668,0.28295,0.29566,68.41639,NA,NA,NA,NA,NA
2015-07-19,2015,200,13,kelloggmiscanthus_2015_07_19_120056.jpg,88.52384,117.53592,105.26263,0.37754,0.28435,80.97280,10.02569,115.01791,4.77181,102.02730,11.81336,0.38630,0.01663,0.38510,0.39193,0.40820,0.27126,0.02833,0.27806,0.29358,0.29457,68.23828,NA,NA,NA,NA,NA
2015-07-20,2015,201,13,kelloggmiscanthus_2015_07_20_120048.jpg,83.09180,112.37768,104.56977,0.37454,0.27694,81.79014,5.89933,112.55103,6.71952,99.14872,7.90447,0.38332,0.01658,0.37737,0.38760,0.41205,0.27844,0.01444,0.27650,0.27963,0.29792,68.05498,NA,NA,NA,NA,NA
2015-07-21,2015,202,13,kelloggmiscanthus_2015_07_21_120045.jpg,80.94729,114.74521,99.29992,0.38898,0.27440,75.54583,16.10412,113.04915,12.10070,100.10435,14.51765,0.39152,0.01866,0.38898,0.40011,0.41369,0.25993,0.04081,0.27440,0.28679,0.29500,67.86567,NA,NA,NA,NA,NA
2015-07-22,2015,203,6,kelloggmiscanthus_2015_07_22_120050.jpg,89.05694,120.94225,105.18311,0.38372,0.28256,86.88125,5.23141,120.14897,5.36542,89.38534,7.65160,0.40546,0.01182,0.40929,0.41317,0.41654,0.29302,0.01048,0.28913,0.29675,0.30594,65.72350,NA,NA,NA,NA,NA
2015-07-23,2015,204,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-07-24,2015,205,10,kelloggmiscanthus_2015_07_24_120049.jpg,74.98086,108.19181,94.17131,0.39010,0.27035,77.14947,6.88499,111.11820,3.78801,104.66025,10.32332,0.37994,0.01399,0.38039,0.38823,0.39300,0.26325,0.01596,0.26394,0.27624,0.28158,67.26487,NA,NA,NA,NA,NA
2015-07-25,2015,206,13,kelloggmiscanthus_2015_07_25_120043.jpg,82.75163,113.23462,100.46348,0.38197,0.27914,79.18825,9.87136,112.95874,4.47345,102.14630,9.14357,0.38392,0.01243,0.38197,0.39503,0.39972,0.26862,0.02951,0.27914,0.28952,0.29072,67.05094,NA,NA,NA,NA,NA
2015-07-26,2015,207,13,kelloggmiscanthus_2015_07_26_120053.jpg,83.32492,110.54661,100.60279,0.37540,0.28296,84.38962,8.38762,113.73341,5.33574,94.73234,11.48340,0.38832,0.01517,0.38408,0.40003,0.41007,0.28814,0.02799,0.28035,0.28807,0.29819,66.83428,NA,NA,NA,NA,NA
