#
# 1-day summary product timeseries for rosemount
#
# Site: rosemount
# Veg Type: AG
# ROI ID Number: 1000
# Lat: 44.7143
# Lon: -93.0898
# Elev: 287
# UTC Offset: -6
# Image Count Threshold: 1
# Aggregation Period: 1
# Solar Elevation Min: 10.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2021-01-05
# Creation Time: 16:55:38
# Update Date: 2021-01-05
# Update Time: 16:55:38
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90
2008-04-01,2008,92,1,rosemount_2008_04_01_120000.jpg,150.68289,150.69719,150.61599,0.33340,0.33337,150.68289,0.00000,150.69719,0.00000,150.61599,0.00000,0.33340,0.00000,0.33340,0.33340,0.33340,0.33337,0.00000,0.33337,0.33337,0.33337,50.03520,NA,NA,NA,NA,NA
2008-04-02,2008,93,1,rosemount_2008_04_02_120000.jpg,143.83665,144.06331,144.02293,0.33354,0.33301,143.83665,0.00000,144.06331,0.00000,144.02293,0.00000,0.33354,0.00000,0.33354,0.33354,0.33354,0.33301,0.00000,0.33301,0.33301,0.33301,50.42359,NA,NA,NA,NA,NA
2008-04-03,2008,94,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-04-04,2008,95,1,rosemount_2008_04_04_120000.jpg,146.05112,141.74278,136.77753,0.33385,0.34400,146.05112,0.00000,141.74278,0.00000,136.77753,0.00000,0.33385,0.00000,0.33385,0.33385,0.33385,0.34400,0.00000,0.34400,0.34400,0.34400,51.19541,NA,NA,NA,NA,NA
2008-04-05,2008,96,1,rosemount_2008_04_05_120000.jpg,135.12142,131.47395,128.73663,0.33257,0.34179,135.12142,0.00000,131.47395,0.00000,128.73663,0.00000,0.33257,0.00000,0.33257,0.33257,0.33257,0.34179,0.00000,0.34179,0.34179,0.34179,51.57863,NA,NA,NA,NA,NA
2008-04-06,2008,97,1,rosemount_2008_04_06_120000.jpg,138.44801,137.36855,135.14176,0.33426,0.33689,138.44801,0.00000,137.36855,0.00000,135.14176,0.00000,0.33426,0.00000,0.33426,0.33426,0.33426,0.33689,0.00000,0.33689,0.33689,0.33689,51.95992,NA,NA,NA,NA,NA
2008-04-07,2008,98,1,rosemount_2008_04_07_120000.jpg,137.39400,135.64406,133.52499,0.33364,0.33794,137.39400,0.00000,135.64406,0.00000,133.52499,0.00000,0.33364,0.00000,0.33364,0.33364,0.33364,0.33794,0.00000,0.33794,0.33794,0.33794,52.33917,NA,NA,NA,NA,NA
2008-04-08,2008,99,1,rosemount_2008_04_08_120000.jpg,136.32619,135.86209,134.66926,0.33393,0.33507,136.32619,0.00000,135.86209,0.00000,134.66926,0.00000,0.33393,0.00000,0.33393,0.33393,0.33393,0.33507,0.00000,0.33507,0.33507,0.33507,52.71628,NA,NA,NA,NA,NA
2008-04-09,2008,100,0,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-04-10,2008,101,1,rosemount_2008_04_10_120000.jpg,140.44652,140.41278,138.66933,0.33469,0.33477,140.44652,0.00000,140.41278,0.00000,138.66933,0.00000,0.33469,0.00000,0.33469,0.33469,0.33469,0.33477,0.00000,0.33477,0.33477,0.33477,53.46365,NA,NA,NA,NA,NA
